Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Pepsic|Boletín (Sociedad de Psicología del Uruguay. En línea)||Boletín (Soc.Psicol. Urug., En línea)|bpsu|1688-4337||1688-4337|Sociedad de Psicología del Uruguay|by-nc/4.0
Chile|Boletín chileno de parasitología||Bol. chil. parasitol.|bcpar|0365-9402|0365-9402||Programa de Parasitología. Instituto de Ciencias Biomédicas. Facultad de Medicina. Universidad de Chile|by-nc/4.0
Colombia|Boletín Científico. Centro de Museos. Museo de Historia Natural||Bol. Cient. Mus. Hist. Nat. Univ. Caldas|bccm|0123-3068|0123-3068||Universidad de Caldas. Vicerrectoría de Investigaciones y Postgrados
Colombia|Boletín de Ciencias de la Tierra||Bol. cienc. tierra|bcdt|0120-3630|0120-3630||Universidad Nacional de Colombia|by/4.0
Chile|Boletín de filología||Boletín de Filología|bfilol|0718-9303||0718-9303|Universidad de Chile, Facultad de Filosofía y Humanidades,|by-nc/4.0
Colombia|Boletín de Investigaciones Marinas y Costeras - INVEMAR||bol. invemar|mar|0122-9761|0122-9761||INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS "JOSE BENITO VIVES DE ANDRÉIS" (INVEMAR)
Argentina|Boletín de la Sociedad Argentina de Botánica||Bol. Soc. Argent. Bot.|bsab|1851-2372||1851-2372|Sociedad Argentina de Botánica|by-nc/4.0
Mexico|Boletín de la Sociedad Botánica de México||Bol. Soc. Bot. Méx|bsbm|0366-2128|0366-2128||Sociedad Botánica de México A.C.|by-nc/3.0
Chile|Boletín de la Sociedad Chilena de Química||Bol. Soc. Chil. Quím.|bscq|0366-1644|0366-1644||Sociedad Chilena de Química|by-nc/4.0
Mexico|Boletín de la Sociedad Geológica Mexicana||Bol. Soc. Geol. Mex|bsgm|1405-3322||1405-3322|Sociedad Geológica Mexicana, A.C.|by-nc/3.0
Argentina|Boletín de Literatura Comparada||Bol. Lit. Comp.|bolicom|0325-3775|0325-3775||Facultad de Filosofía y Letras, UNCUyo|by-nc/4.0
Venezuela|Boletín de Malariología y Salud Ambiental||Bol Mal Salud Amb|bmsa|1690-4648|1690-4648||Instituto de Altos Estudios en Salud Pública Dr. Arnoldo Gabaldon
Argentina|Boletín del Instituto de Historia Argentina y Americana Dr. Emilio Ravignani||Bol. Inst. Hist. Argent. Am. Dr. Emilio Ravignani|bihaar|0524-9767|0524-9767|1850-2563|Universidad de Buenos Aires. Facultad de Filosofía y Letras. Instituto de Historia Argentina y Americana "Dr. Emilio Ravignani"|by-nc/4.0
Chile|Boletín del Museo Chileno de Arte Precolombino||Bol. Mus. Chil. Arte Precolomb.|bmchap|0718-6894||0718-6894|Museo Chileno de Arte Precolombino|by-nc/4.0
Argentina|Boletín geográfico||Bol. geogr.|boge|2313-903X||2313-903X|Universidad Nacional del Comahue; Facultad de Humanidades; Departamento de Geografía|by-nc/4.0
Mexico|Boletín mexicano de derecho comparado||Bol. Mex. Der. Comp.|bmdc|0041-8633|0041-8633||Instituto de Investigaciones Jurídicas, UNAM|by-nc/3.0
Mexico|Boletín médico del Hospital Infantil de México||Bol. Med. Hosp. Infant. Mex.|bmim|1665-1146|1665-1146||Instituto Nacional de Salud, Hospital Infantil de México Federico Gómez|by-nc/3.0
Venezuela|Boletín Técnico||IMME|imme|0376-723X|0376-723X||Instituto de Materiales y Modelos Estructurales.Facultad de Ingenieria. Universidad Central de Venezuela.
Chile|Bosque (Valdivia)||Bosque (Valdivia)|bosque|0717-9200||0717-9200|Universidad Austral de Chile, Facultad de Ciencias Forestales|by-nc/4.0
Mexico|Botanical Sciences||Bot. sci|bs|2007-4298|2007-4298|2007-4476|Sociedad Botánica de México A.C.|by-nc/3.0
South Africa|Bothalia - African Biodiversity & Conservation||Bothalia (Online)|babc|0006-8241|0006-8241|2311-9284|AOSIS Publishing|by-nc/4.0
Brazil|Bragantia||Bragantia|brag|0006-8705|0006-8705|1678-4499|Instituto Agronômico de Campinas|by/4.0
Brazil|Brazilian Archives of Biology and Technology||Braz. arch. biol. technol.|babt|1516-8913|1516-8913|1678-4324|Instituto de Tecnologia do Paraná - Tecpar|by-nc/4.0
Brazil|Brazilian Dental Journal|Braz Dent J|Braz. Dent. J.|bdj|0103-6440|0103-6440|1806-4760|Fundação Odontológica de Ribeirão Preto|by-nc/4.0
Brazil|Brazilian Journal of Biology|Braz J Biol|Braz. J. Biol.|bjb|1519-6984|1519-6984|1678-4375|Instituto Internacional de Ecologia|by/4.0
Brazil|Brazilian Journal of Botany||Braz. J. Bot.|rbb|0100-8404|0100-8404|1806-9959|Sociedade Botânica de São Paulo|by-nc/4.0
Brazil|Brazilian Journal of Chemical Engineering||Braz. J. Chem. Eng.|bjce|0104-6632||0104-6632|Brazilian Society of Chemical Engineering|by-nc/4.0
Brazil|Brazilian Journal of Food Technology||Braz. J. Food Technol.|bjft|1981-6723||1981-6723|Instituto de Tecnologia de Alimentos - ITAL|by/4.0
Brazil|Brazilian Journal of Genetics||Braz. J. Genet.|bjg|0100-8455|0100-8455|1678-4502|Sociedade Brasileira de Genética|by-nc/4.0
Brazil|Brazilian Journal of Geology||Braz. J. Geol.|bjgeo|2317-4889|2317-4889|2317-4692|Sociedade Brasileira de Geologia|by/4.0
Brazil|Brazilian Journal of Infectious Diseases|Braz J Infect Dis|Braz J Infect Dis|bjid|1413-8670|1413-8670|1678-4391|Brazilian Society of Infectious Diseases|by-nc-nd/4.0
Brazil|Brazilian Journal of Medical and Biological Research|Braz J Med Biol Res|Braz J Med Biol Res|bjmbr|0100-879X|0100-879X|1414-431X|Associação Brasileira de Divulgação Científica|by/4.0
Brazil|Brazilian Journal of Microbiology|Braz J Microbiol|Braz. J. Microbiol.|bjm|1517-8382|1517-8382|1678-4405|Sociedade Brasileira de Microbiologia|by-nc/4.0
Brazil|Brazilian Journal of Oceanography||Braz. j. oceanogr.|bjoce|1679-8759|1679-8759|1982-436X|Universidade de São Paulo, Instituto Oceanográfico|by/4.0
Brazil|Brazilian Journal of Oral Sciences||Braz. J. Oral Sci.|bjos|1677-3225||1677-3225|Faculdade de Odontologia de Piracicaba - UNICAMP|by-nc/4.0
Brazil|Brazilian Journal of Otorhinolaryngology|Braz J Otorhinolaryngol|Braz. j. otorhinolaryngol.|bjorl|1808-8694|1808-8694|1808-8686|Associação Brasileira de Otorrinolaringologia e Cirurgia Cervicofacial|by/4.0
Brazil|Brazilian Journal of Pharmaceutical Sciences||Braz. J. Pharm. Sci.|bjps|1984-8250|1984-8250|2175-9790|Universidade de São Paulo, Faculdade de Ciências Farmacêuticas|by-nc/4.0
Brazil|Brazilian Journal of Physical Therapy|Braz J Phys Ther|Braz. J. Phys. Ther.|rbfis|1413-3555|1413-3555|1809-9246|Associação Brasileira de Pesquisa e Pós-Graduação em Fisioterapia|by/4.0
Brazil|Brazilian Journal of Physics||Braz. J. Phys.|bjp|0103-9733|0103-9733|1678-4448|Sociedade Brasileira de Física|by-nc/4.0
Brazil|Brazilian Journal of Plant Physiology||Braz. J. Plant Physiol.|bjpp|1677-0420|1677-0420|1677-9452|Brazilian Journal of Plant Physiology|by-nc/4.0
Brazil|Brazilian Journal of Veterinary Research and Animal Science||Braz. J. Vet. Res. Anim. Sci.|bjvras|1413-9596|1413-9596|1678-4456|Faculdade de Medicina Veterinária e Zootecnia / Universidade de São Paulo|by-nc/4.0
Brazil|Brazilian Oral Research|Braz Oral Res|Braz. oral res.|bor|1806-8324|1806-8324|1807-3107|Sociedade Brasileira de Pesquisa Odontológica - SBPqO|by/4.0
Social Sciences|Brazilian Political Science Review (Online)||Braz. political sci. rev. (Online)|s_bpsr|1981-3821||1981-3821|Associação Brasileira de Ciência Política|by-nc/4.0
Brazil|Brazilian Political Science Review||Bras. Political Sci. Rev.|bpsr|1981-3821||1981-3821|Associação Brasileira de Ciência Política|by-nc/4.0
Public Health|Bulletin of the World Health Organization||Bull World Health Organ|bwho|0042-9686|0042-9686||World Health Organization|by/3.0/igo
Chile|Byzantion nea hellás||Byzantion nea hellás|byzantion|0718-8471||0718-8471|Centro de Estudios Griegos Bizantinos y Neohelénicos. Facultad de Filosofía, Humanidades y Educación.|by-nc/4.0
Brazil|Caderno CRH||Cad. CRH|ccrh|0103-4979|0103-4979|1983-8239|Universidade Federal da Bahia - Faculdade de Filosofia e Ciências Humanas - Centro de Recursos Humanos|by/4.0
Brazil|Caderno de Estudos||Cad. estud.|cest|1413-9251|1413-9251|2316-8943|Fundação Instituto de Pesquisas Contábeis, Atuariais e Financeiras|by-nc/4.0
Brazil|Cadernos CEDES||Cad. CEDES|ccedes|0101-3262|0101-3262|1678-7110|Centro de Estudos Educação e Sociedade|by-nc/4.0
Portugal|Cadernos de Estudos Africanos||Cadernos de Estudos Africanos|cea|1645-3794|1645-3794||Centro de Estudos Internacionais|by-nc/4.0
Brazil|Cadernos de Pesquisa||Cad. Pesqui.|cp|0100-1574|0100-1574|1980-5314|Fundação Carlos Chagas|by-nc/4.0
Pepsic|Cadernos de psicanálise (Rio de Janeiro)||Cad. psicanal.|cadpsi|1413-6295||1413-6295|Círculo Psicanalítico do Rio de Janeiro|by-nc/4.0
Pepsic|Cadernos de Psicologia Social do Trabalho||Cad. psicol. soc. trab.|cpst|1516-3717|1516-3717||Centro de Psicologia Aplicada ao Trabalho do Departamento de Psicologia Social e do Trabalho do Instituto de Psicologia da Universidade de São Paulo|by-nc/4.0
Pepsic|Cadernos de Psicopedagogia||Cad. psicopedag.|cap|1676-1049|1676-1049||UNIFIEO|by-nc/4.0
Brazil|Cadernos de Saúde Pública|Cad Saude Publica|Cad. Saúde Pública|csp|0102-311X|0102-311X|1678-4464|Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz|by-nc/4.0
Public Health|Cadernos de Saúde Pública||Cad. Saúde Pública|csp|0102-311X|0102-311X||Escola Nacional de Saúde Pública Sergio Arouca, Fundação Oswaldo Cruz|by-nc/3.0
Brazil|Cadernos EBAPE.BR||Cad. EBAPE.BR|cebape|1679-3951||1679-3951|Fundação Getulio Vargas, Escola Brasileira de Administração Pública e de Empresas|by/4.0
Brazil|Cadernos Metrópole||Cad. Metrop.|cm|2236-9996||2236-9996|EDUC - Editora da Pontifícia Universidade Católica de São Paulo|by-nc/4.0
Brazil|Cadernos Nietzsche||Cad. Nietzsche|cniet|2316-8242||2316-8242|Grupo de Estudos Nietzsche|by-nc/4.0
Brazil|Cadernos Pagu||Cad. Pagu|cpa|0104-8333|0104-8333|1809-4449|Núcleo de Estudos de Gênero - Pagu|by-nc/4.0
Social Sciences|Cadernos Pagu||Cad. Pagu|s_pagu|0104-8333|0104-8333||Núcleo de Estudos de Gênero - Pagu|by-nc/4.0
Brazil|Cadernos Saúde Coletiva||Cad. saúde colet.|cadsc|1414-462X|1414-462X|2358-291X|Instituto de Estudos em Saúde Coletiva da Universidade Federal do Rio de Janeiro|by/4.0
Colombia|Caldasia||Caldasia|cal|0366-5232|0366-5232||Instituto de Ciencias Naturales, Facultad de Ciencias-Universidad Nacional de Colombia|by/4.0
Chile|Calidad en la educación||Calidad en la educación|caledu|0718-4565||0718-4565|Consejo Nacional de Educación|by-nc/4.0
Argentina|CELEHIS (Mar del Plata)||CELEHIS|celehis|2313-9463||2313-9463|Universidad Nacional de Mar del Plata|by-nc/4.0
Brazil|CERNE||CERNE|cerne|0104-7760|0104-7760|2317-6342|UFLA - Universidade Federal de Lavras|by/4.0
Brazil|Cerâmica||Cerâmica|ce|0366-6913|0366-6913|1678-4553|Associação Brasileira de Cerâmica|by-nc/4.0
Colombia|CES Medicina Veterinaria y Zootecnia||Ces. Med. Vet. Zootec.|cmvz|1900-9607||1900-9607|Universidad CES|by/4.0
Colombia|CES Medicina||CES Med.|cesm|0120-8705|0120-8705||Universidad CES|by/4.0
Colombia|CES Odontología||CES odontol.|ceso|0120-971X|0120-971X||Universidad CES - Facultad de Odontología|by/4.0
Colombia|CES Psicología||CES Psicol|cesp|2011-3080||2011-3080|Universidad CES
Chile|Chilean journal of agricultural research||Chilean J. Agric. Res.|chiljar|0718-5839||0718-5839|Instituto de Investigaciones Agropecuarias, INIA|by-nc/4.0
Chile|Chungará (Arica)||Chungará (Arica)|chungara|0717-7356||0717-7356|Universidad de Tarapacá<br>Facultad de Ciencias Sociales y Jurídicas<br>|by-nc/4.0
Argentina|Ciclos en la historia, la economía y la sociedad||Ciclos hist. econ. soc.|ciclos|1851-3735||1851-3735|Fundación de Investigaciones Históricas, Económicas y Sociales|by-nc/4.0
Portugal|CIDADES, Comunidades e Territórios||CIDADES|cct|2182-3030||2182-3030|DINÂMIA'CET-IUL, Centro de Estudos sobre a Mudança Socioeconómica e o Território|by-nc/4.0
Chile|Ciencia & trabajo||Cienc Trab.|cyt|0718-2449||0718-2449|Fundación Científica y Tecnológica. Asociación Chilena de Seguridad|by-nc/4.0
Argentina|Ciencia del suelo||Cienc. suelo|cds|1850-2067||1850-2067|Asociación Argentina de la Ciencia del Suelo|by-nc/4.0
Colombia|Ciencia e Ingeniería Neogranadina||Cienc. Ing. Neogranad.|cein|0124-8170|0124-8170||Universidad Militar Nueva Granada
Chile|Ciencia e investigación agraria||Cienc. Inv. Agr.|ciagr|0718-1620||0718-1620|Pontificia Universidad Católica de Chile. Facultad de Agronomía e Ingeniería Forestal|by-nc/4.0
Mexico|Ciencia forestal en México||Rev. Cien. For. Mex|cfm|1405-3586|1405-3586||Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias|by-nc/3.0
Chile|Ciencia y enfermería||Cienc. enferm.|cienf|0717-9553||0717-9553|Universidad de Concepción. Facultad de Medicina. Departamento de Enfermería|by-nc/4.0
Argentina|Ciencia, docencia y tecnología||Cienc. docencia tecnol.|cdyt|1851-1716||1851-1716|Universidad Nacional de Entre Ríos|by-nc/4.0
Argentina|Ciencias agronómicas||Cienc. agron.|agro|2250-8872||2250-8872|Universidad Nacional de Rosario; Facultad de Ciencias Agrarias|by-nc/4.0
Mexico|Ciencias marinas||Cienc. mar|ciemar|0185-3880|0185-3880||Universidad Autónoma de Baja California, Instituto de Investigaciones Oceanológicas|by-nc/3.0
Pepsic|Ciencias Psicológicas||Cienc. psicol.|cpsi|1688-4094|1688-4094||Facultad de Psicología de la Universidad Católica del Uruguay, Damaso A. Larrañaga|by-nc/4.0
Uruguay|Ciencias Psicológicas||Cienc. Psicol.|cp|1688-4221||1688-4221|Universidad Católica del Uruguay. Facultad de Psicología|by/4.0
Argentina|Cine Documental||Cine Documental|cine|1852-4699||1852-4699|Cine Documental|by-nc/4.0
Chile|Cinta de moebio||Cinta moebio|cmoebio|0717-554X||0717-554X|Universidad de Chile. Facultad de Ciencias Sociales.|by/4.0
Argentina|Circe de clásicos y modernos||Circe clás. mod.|circe|1851-1724||1851-1724|Instituto de Estudios Clásicos. Facultad de Ciencias Humanas. Universidad Nacional de La Pampa|by-nc/4.0
Spain|Cirugía Plástica Ibero-Latinoamericana||Cir. plást. iberolatinoam.|cpil|0376-7892|0376-7892||Sociedad Española de Cirugía Plástica, Reparadora y Estética (SECPRE)
Mexico|Cirujano general||Cir. gen|cg|1405-0099|1405-0099||Asociación Mexicana de Cirugía General A.C.|by-nc/3.0
Colombia|Civilizar Ciencias Sociales y Humanas||Civilizar|ccso|1657-8953|1657-8953||Universidad Sergio Arboleda
Brazil|Ciência & Educação (Bauru)||Ciênc. educ. (Bauru)|ciedu|1516-7313|1516-7313|1980-850X|Programa de Pós-Graduação em Educação para a Ciência, Universidade Estadual Paulista (UNESP), Faculdade de Ciências, campus de Bauru.|by-nc/4.0
Brazil|Ciência & Saúde Coletiva|Cien Saude Colet|Ciênc. saúde coletiva|csc|1413-8123|1413-8123|1678-4561|ABRASCO - Associação Brasileira de Saúde Coletiva|by/4.0
Public Health|Ciência & Saúde Coletiva||Ciênc. saúde coletiva|csc|1413-8123|1413-8123||ABRASCO - Associação Brasileira de Saúde Coletiva|by-nc/3.0
Portugal|Ciência & Tecnologia dos Materiais||C.Tecn. Mat.|ctm|0870-8312|0870-8312||Sociedade Portuguesa de Materiais
Brazil|Ciência Animal Brasileira||Ciênc. anim. bras.|cab|1809-6891||1809-6891|Universidade Federal de Goiás|by/4.0
Brazil|Ciência da Informação||Ci. Inf.|ci|0100-1965|0100-1965|1518-8353|IBICT|by-nc/4.0
Brazil|Ciência e Agrotecnologia||Ciênc. agrotec.|cagro|1413-7054|1413-7054|1981-1829|Editora da Universidade Federal de Lavras|by/4.0
Portugal|Ciência e Técnica Vitivinícola||Ciência Téc. Vitiv.|ctv|0254-0223|0254-0223||INIAV - DOIS PORTOS (Ex-Estação Vitivinícola Nacional)
Brazil|Ciência Florestal||Ciênc. Florest.|cflo|1980-5098||1980-5098|Universidade Federal de Santa Maria|by-nc/4.0
Brazil|Ciência Rural||Cienc. Rural|cr|0103-8478|0103-8478|1678-4596|Universidade Federal de Santa Maria|by/4.0
Pepsic|Ciências & Cognição||Ciênc. cogn.|cc|1806-5821||1806-5821|Instituto de Ciências Cognitivas|by-nc/4.0
Uruguay|CLEI Electronic Journal||CLEIej|cleiej|0717-5000||0717-5000|Centro Latinoamericano de Estudios en Informática|by-nc/4.0
Pepsic|CliniCAPS||CliniCAPS|clinic|1983-6007||1983-6007|Universidade Federal de Minas Gerais, Departamento de Psicologia|by-nc/4.0
Brazil|Clinics|Clinics (Sao Paulo)|Clinics|clin|1807-5932|1807-5932|1980-5322|Faculdade de Medicina / USP|by/4.0
Spain|Clínica y Salud||Clínica y Salud|clinsa|1130-5274|1130-5274||Colegio Oficial de Psicólogos de Madrid
Colombia|Co-herencia||Co-herencia|cohe|1794-5887|1794-5887||Departamento de Humanidades de la Universidad EAFIT
Brazil|CoDAS|Codas|CoDAS|codas|2317-1782||2317-1782|Sociedade Brasileira de Fonoaudiologia|by/4.0
Colombia|Colombia Forestal||Colomb. for.|cofo|0120-0739|0120-0739||Proyecto Curricular de Ingeniería Forestal, Facultad del Medio Ambiente y Recursos Naturales, Universidad Distrital Francisco José de Caldas.
Colombia|Colombia Internacional||colomb.int.|rci|0121-5612|0121-5612||Departamento de Ciencia Política y Centro de Estudios Internacionales. Facultad de Ciencias Sociales, Universidad de los Andes
Colombia|Colombia Médica||Colomb. Med.|cm|1657-9534||1657-9534|Facultad de Salud, Universidad del Valle, Cali, Colombia|by/4.0
Colombia|Colombian Applied Linguistics Journal||Colomb. Appl. Linguist. J.|calj|0123-4641|0123-4641||Facultad de Ciencias y Educación de la Universidad Distrital, Bogotá Colombia
Brazil|Coluna/Columna||Coluna/Columna|coluna|1808-1851|1808-1851|2177-014X|Sociedade Brasileira de Coluna|by/4.0
Argentina|Comechingonia||Comechingonia|come|1851-0027||1851-0027|AREA DE ETNOHISTORIA Y ARQUEOLOGÍA|by-nc/4.0
Portugal|Comportamento Organizacional e Gestão||Comport. Organ. Gest.|cog|0872-9662|0872-9662||ISPA - Instituto Superior de Psicologia Aplicada
Mexico|Computación y Sistemas||Comp. y Sist.|cys|1405-5546|1405-5546||Centro de Investigación en computación, IPN|by-nc/3.0
Brazil|Computational & Applied Mathematics||Comput. Appl. Math.|cam|1807-0302||1807-0302|Sociedade Brasileira de Matemática Aplicada e Computacional|by-nc/4.0
Peru|Comuni@cción||Comuni@cción|comunica|2219-7168|2219-7168||Universidad Nacional del Altiplano de Puno|by-nc/4.0
Mexico|Comunicación y sociedad||Comun. soc|comso|0188-252X|0188-252X||Universidad de Guadalajara, Departamento de Estudios de la Comunicación Social|by-nc/3.0
Portugal|Comunicações Geológicas||Comunicações Geológicas|cg|1647-581X|1647-581X||LNEG - Laboratório Nacional de Energia e Geologia
Venezuela|Comunidad y Salud||Comunidad y Salud|cs|1690-3293|1690-3293||Universidad de Carabobo
Mexico|Concreto y cemento. Investigación y desarrollo||Concr. cem. investig. desarro|ccid|2007-3011|2007-3011||Instituto Mexicano del Cemento y del Concreto, A.C.|by-nc/3.0
Mexico|CONfines de relaciones internacionales y ciencia política||CONfines relacion. internaci. ciencia política|confines|1870-3569|1870-3569||Instituto Tecnológico y de Estudios Superiores de Monterrey, División de Humanidades y Ciencias Sociales|by-nc/3.0
Pepsic|Construção psicopedagógica||Constr. psicopedag.|cp|1415-6954|1415-6954||Instituto Sedes Sapientiae|by-nc/4.0
Argentina|Contabilidad y Auditoría||Contab. audit.|contau|1852-446X||1852-446X|UNIVERSIDAD DE BUENOS AIRES|by-nc/4.0
Mexico|Contaduría y administración||Contad. Adm|cya|0186-1042|0186-1042||Facultad de Contaduría y Administración, UNAM|by-nc/3.0
Brazil|Contexto Internacional||Contexto int.|cint|0102-8529|0102-8529|1982-0240|Pontifícia Universidade Católica do Rio de Janeiro, Instituto de Relações Internacionais|by/4.0
